1,Astronomical Low Tide
2,Avalanche
3,Blizzard
4,Coastal Flood
5,Cold/Wind Chill
6,Debris Flow
7,Dense Fog
8,Dense Smoke
9,Drought
10,Dust Devil
11,Dust Storm
12,Excessive Heat
13,Extreme Cold/Wind Chill
14,Flash Flood
15,Flood
16,Freezing Fog
17,Frost/Freeze
18,Funnel Cloud
19,Hail
20,Heat
21,Heavy Rain
22,Heavy Snow
23,High Surf
24,High Wind
25,Hurricane/Typhoon
26,Ice Storm
27,Lakeshore Flood
28,Lake-Effect Snow
29,Lightning
30,Marine Hail
31,Marine High Wind
32,Marine Strong Wind
33,Marine Thunderstorm Wind
34,Rip Current
35,Seiche
36,Sleet
37,Storm Tide
38,Strong Wind
39,Thunderstorm Wind
40,Tornado
41,Tropical Depression
42,Tropical Storm
43,Tsunami
44,Volcanic Ash
45,Waterspout
46,Wildfire
47,Winter Storm
48,Winter Weather
